2824,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,Port Blair,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar",03192 230628
2825,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",03192 248759
2826,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,Port Blair,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport","03192 233193, 03192 233993"
2827,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",08554 246344
2828,Government General Hospital Blood Bank,Andhra Pradesh,Ananthapur,"Government General Hospital, Ananthapur",08554 275024
2829,Indian Red Cross Society,Andhra Pradesh,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",8554246344
2830,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",08559 244259
2831,South Central Railway Hospital Blood Bank,Andhra Pradesh,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",08552 227166
2832,Indian Red Cross Society Blood Bank,Andhra Pradesh,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur",08556 225900
2833,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur",08494 221544
2834,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",08555 287900
2835,District Head Quarters Hospital Blood Bank.,Andhra Pradesh,Chittoor,"Head Quarters  Hospital Compound, Chittoor",NA
2836,Indian Red Cross Society,Andhra Pradesh,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",8572220287
2837,M/s IRCS Blood Bank.,Andhra Pradesh,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",08572 220287
2838,M/s PESIMSR Blood Bank.,Andhra Pradesh,Kuppam,"PES Institute of medical sciences premises, Kuppam",08570 256737
2839,Blood Bank AH Madanapalli,Andhra Pradesh,Madanapalli,"The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",8571222087
2840,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,Madnapalli,"Area Hospital, Patel Road, Madanapalli.",08571 222087
2841,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor",9490651605
2842,SVRRGGH - Model Blood Bank,Andhra Pradesh,Tirupati,"S.V.R.R. Government General Hospital, Tirupati",0877 2286290
2843,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",0877 2287777
2844,Govt Maternity Hospital Blood Bank,Andhra Pradesh,Tirupati,"Ruia Hospital Road, Tirupati",""
2845,TTD Central Hospital Blood Bank,Andhra Pradesh,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati",0877 2264622
2846,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",0877 6667671
2847,Government Hospital,Andhra Pradesh,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",""
2848,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.","08856 237996, 08856 237997, 08856 237998"
2849,M/s. A.P.V.V.P Area Hospital Blood Bank,Andhra Pradesh,Amalapuram,"Ground Floor Area Hospital, Amalapuram",NA
2850,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,Kakinada,"Government General Premises, Ground Floor, Kakinada",0884 2302008
2851,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",0884 2385800
2852,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada","0884 2367366,"
2853,District Headquarters Hospital,Andhra Pradesh,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",""
2854,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",0883 2484999
